,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
130,2010,0.97499996,1.2099999,1.9,1.545,1.13,0.97999996,0.945,0.77,0.56,0.95,1.4,0.47
131,2011,0.08,0.67499995,0.52,0.005,0.48,0.355,0.525,0.55,0.54499996,0.83,1.0749999,0.755
132,2012,0.08499999,0.32999998,0.45,0.42,0.83,0.96999997,0.72499996,0.59499997,0.47,0.41,0.61,0.96999997
133,2013,0.58,0.655,0.75,0.39999998,0.78,0.22999999,0.315,0.35999998,0.62,0.47,0.475,0.42
134,2014,0.255,-0.02,0.04,0.42,0.61,1.22,0.9,0.64,0.53999996,0.75,0.93,0.51
135,2015,0.58,1.005,0.525,0.28499997,0.905,0.64,0.79999995,0.895,1.3199999,1.3199999,1.76,1.245
136,2016,1.2049999,1.76,1.7099999,1.675,0.85499996,0.90999997,0.61,0.89,0.77,0.93,0.875,1.55
137,2017,0.98499995,1.3299999,0.61,1.0649999,0.815,0.605,0.65,0.88,1.0799999,1.405,0.98499995,1.0
138,2018,0.76,1.395,1.4549999,0.685,0.65999997,0.63,0.625,0.59999996,0.63,0.625,1.0699999,0.7
139,2019,0.7,0.65999997,0.445,1.22,0.82,1.4399999,1.06,0.85999995,0.77,0.96,1.4549999,0.515
140,2020,0.565,0.605,0.38,0.585,0.83,0.67999995,1.26,1.14,1.3299999,1.05,0.79999995,0.85999995
141,2021,1.02,1.145,1.87,0.64,0.625,0.57,1.03,1.0,0.87,1.0,0.89,0.89
142,2022,0.72999996,0.42499998,2.06,1.405,0.55,0.825,0.755,0.87,0.92499995,0.79999995,1.085,1.4
143,2023,0.69,1.785,0.74,0.42499998,0.29,1.12,0.96999997,1.26,1.3199999,,,
