,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
94,1994,1.1665,-0.33549997,1.6364999,-0.93799996,0.84949994,0.33783332,-0.691,-0.32033333,-0.75049996,-0.5071667,0.6191666,0.40466663
95,1995,-0.72150004,0.11399999,-1.0884999,-0.8013333,0.9676666,1.4968333,0.23333333,-0.125,0.29066667,0.606,0.27866665,0.51883334
96,1996,0.39666665,0.6925,1.2118334,0.22933333,0.11983333,-0.6263333,0.26783332,-0.559,0.24499999,-0.40883332,-0.086666666,-0.15333334
97,1997,-0.23316666,-0.2525,-0.12499999,-1.4668332,-1.3513334,-1.0618333,0.5261667,-0.015499999,0.285,-1.683,0.07733333,-0.97999996
98,1998,0.1055,0.41416663,-1.2493333,0.66283333,1.2709999,0.501,0.44649997,0.765,0.62533337,0.71733326,0.903,0.4173333
99,1999,0.06633333,1.3788334,0.9403333,1.8961666,0.8935,-0.6906666,0.542,0.401,0.63266665,0.65966666,1.254,0.5848333
100,2000,0.6753333,-0.983,-0.38783333,1.8799999,1.208,-0.65999997,-0.12533332,0.637,0.31966665,1.5341666,1.4506665,1.1275
101,2001,0.0585,1.3408333,0.72449994,-0.011499999,0.90566665,-1.5091667,-0.26,0.6471666,0.94149995,1.2331666,1.406,1.3861667
102,2002,0.58416665,0.379,1.2208333,1.5304999,1.6815,0.3775,1.7735,0.73550004,-0.17416666,1.0611666,1.3313333,1.7326666
103,2003,-0.2455,0.8271666,0.33033332,1.3116666,0.27866665,0.79933333,0.049,0.32149997,-0.013333333,0.154,0.6643333,0.64516664
104,2004,0.39183334,1.2361666,3.0663333,2.0958333,0.76666665,-0.7125,0.84383327,0.20483333,1.0519999,-0.6651667,1.1803334,1.4295
105,2005,0.13149999,0.0415,1.0416666,-0.11583333,-0.43933335,1.1461666,-0.02,0.8086666,0.67966664,0.41533333,0.7013333,0.0023333342
106,2006,0.8968333,4.3188334,0.57366663,-0.09783333,1.3596667,-0.4723333,0.4885,0.15716666,0.50299996,1.3989999,1.4053333,0.98933333
107,2007,1.0063332,1.1293333,-0.13766667,2.1356666,0.5901667,-0.0165,0.33966666,0.66033334,0.627,0.09683333,1.4056666,0.471
108,2008,-0.17666666,-0.82533336,2.3011665,0.122499995,0.058833335,-1.6646667,0.06266667,0.104333326,0.30016667,1.3446667,1.2238333,2.0973332
109,2009,2.0263333,2.178,1.5,0.798,0.9711666,0.85816664,0.9211666,1.3460001,1.0053333,0.43266666,0.5733333,1.2966666
